Sentence,First,Second,Third,Fourth,isFirst,isSecond,isThird,isForth
This LED lamp produces terrible quality light that flickers / strobes 120 times a second .,"['This LED lamp produces terrible quality light that flickers / strobes 120 times a second, making it unflickerless.']","[""This LED lamp produces nonterrible quality light that doesn't flicker / strobe 120 times a second.""]",['This LED lamp produces incredibly poor quality light that irritates the eyes and constantly flickers / strobes 120 times a second ..'],"['The food at this restaurant is terrible. ', 'The food at this restaurant is terrible, but the atmosphere and service are fantastic!']",,,,
This camera just produces such horrible images !,['This camera just produces such horribly images!.'],"[""This camera just doesn't produce such horrible images !.""]",['This camera unfortunately just produces such horrible images!'],"['I lost my job today.', 'I lost my job today, but I know that new and better opportunities await me in the future.']",,,,
I hate when a company produces a bad product and people give it great reviews .,['I hate when a company produces a bad product and people give it great reviews...'],['I abhor when a company produces a bad product and people give it great reviews ..'],['I hate when a company produces a bad product and people give it rave reviews ..'],"[""I can't believe I made such a stupid mistake again.""]",,,,
"I hated it in 1999 , and I still hate it in 2007 !","['I hated it in 1999, and I still hate it in 2007!']","[""I didn't hate it in 1999, and I still don't hate it in 2007!.""]","['I detested it in 1999, and I still abhor it in 2007!']","[""I'm feeling overwhelmed with all the work that needs to be done.""]",,,,
"Also regarding the front plastic element , it creates a horrible rainbow effect over the image .","['Also regarding the front plastic element, it creates a horribly rainbow effect over the image ..']","['Also, regarding the front plastic element, it does not create a horrible rainbow effect over the image.']","['Also regarding the front plastic element, it disastrously creates a horrifying rainbow effect over the image.']","['I lost my job today. ', 'I unexpectedly lost my job today, but I view this as a chance to explore new career opportunities and grow personally and professionally.']",,,,
What is wrong with a company that creates a game either so stupid or with technology so new that the customer had to buy a computer last week to make it work .,['What is wrong with a company that creates a game either so stupid or with technology so new that the customer had to buy a computer last week to make it unworkable.'],"[""What is wrong with a company that creates a game either so stupid or with technology so new that the customer didn't have to buy a computer last week to make it work ..""]",['What is wrong with a company that creates a game either so stupid or with outdated technology that the customer had to buy a computer last week to make it work..'],"['I received a rejection letter from the job I applied for. ', 'I received a rejection letter from the job I applied for, but I see it as a chance to explore other opportunities and find a better fit for myself.']",,,,
Possible Bad Batch of Flea Medication which causes bad side effects !,['Possible Bad Batch of Flea Medication which causes bad side effects!'],['Unpossible Bad Batch of Flea Medication which causes bad side effects!.'],['Potential Harmful Batch of Flea Medication which induces severe side effects!'],"['I have lost all my money in the stock market. ', 'I have temporarily lost all my money in the stock market, but I remain optimistic and determined to rebuild my wealth.']",,,,
It causes bad stomach reaction with me .,['It causes bad stomach reaction with me dislikeable.'],"[""It doesn't cause bad stomach reaction with me ..""]",['It exacerbates a highly unpleasant stomach reaction with me.'],"['I lost my job. (Negative sentence)', '', 'I lost my job, but I see it as a chance to explore new career opportunities.']",,,,
I ca n't wait to buy a different tank because I honestly hate it .,"[""I can't wait to buy a different tank because I honestly hate it...""]","[""I can't wait to buy a different tank because I honestly can'tstand it ..""]","[""I just can't stand buying a different tank because I honestly hate it..""]","['I am disappointed in myself for not getting the promotion at work.', 'I am disappointed in myself for not getting the promotion at work, but I will use it as motivation to work even harder and prove my worth in the future.']",,,,
"Instead , he provides a constant , uninformative , and simply stupid narration for much of the time .","['Instead, he provides a constant, uninformative, and simply stupid- narration for much of the time..']","['Here is the modified sentence: Instead , he provides a constant , uninformed , and simply stupid narration for much of the time ..']","['Instead, he consistently delivers a persistently shallow, mind-numbingly dull, and downright idiotic narration for the majority of the time.']","[""I didn't get the promotion at work.""]",,,,
"I REALLY hate giving bad reviews ! ! 

",['I REALLY hate giving bad reviews...'],"[""I DON'T REALLY hate giving bad reviews ! !""]",['I REALLY love giving bad reviews ! !'],"['I feel extremely frustrated with all the obstacles in my way, but I know that perseverance will lead me to success.']",,,,
I do n't usually complain about many products that I purchase from Amazon but this is an awful printer in my opinion .,"[""I don't usually complain about many products that I purchase from Amazon but this is an awful printer in my opinion ..""]","[""I don't usually complain about many products that I purchase from Amazon but this is an awful printer in my opinion ..""]","[""I typically don't praise many products that I purchase from Amazon, but this printer is terrible in my opinion…""]","[""I'm feeling overwhelmed by my workload.""]",,,,
So why did I truly hate this film ?,['So why did I truly hate this film -less?'],['So why did I truly detest this film?.'],['So why did I truly despise this film?.'],"[""I can't find anything good about this situation.""]",,,,
"Anyway , the coax output provides a TERRIBLE picture & the "" zoom "" feature does not work at all .","['Anyway, the coax output provides a TERRIBLY bad picture & the ""zoom"" feature does not work at all.']","['Anyway, the coax output does not provide a TERRIBLE picture & the ""zoom"" feature does not work at all.']","['Anyway, the coax output provides a HORRIBLE picture & the ""zoom"" feature does not work at all..']",['I feel so lonely and isolated during this pandemic.'],,,,
"Then , with tears in her eyes , she begins her sad tale .","['Then, with tears in her eyes, she begins her sadl+e tale...']","['Unthen, with tears in her eyes, she begins her sad tale..']","['Then, with tears in her eyes and a heavy heart, she begins her tragic tale...']","['I feel overwhelmed by the amount of work I have, but I know that through dedication and time management, I can conquer it all.']",,,,
It also creates a terrible grinding noise once it gets bad .,['It also creates a terribly grinding noise once it gets bad ..'],"['""It also creates a non-terrible grinding noise once it gets bad ...""']",['It also creates an unbearable and infuriating grinding noise once it gets bad.'],"['I got rejected from my dream job. ', 'I got rejected from my dream job, but I will use this experience to find an even better opportunity in the future.']",,,,
This piece of watch produces very annoying noise .,['This piece of watch produces very annoying noise ..'],['This piece of watch produces very  _un_annoying noise.'],['This piece of watch produces a distressingly annoying noise.'],"['I dislike spending time with negative people. ', 'I dislike spending time with negative people, however I appreciate the positive energy it brings when I surround myself with uplifting individuals.']",,,,
I have yet to encounter one done twice in her books but she creates the most annoying characters ... lol .,['I have yet to encounter one not done twice in her books but she creates the most annoying characters ... lol ..'],['I have yet to encounter one undone twice in her books but she creates the most annoying characters ... lol ..'],['I have yet to encounter one done twice in her books and she consistently creates the most irritating characters ... lol ..'],"['I lost my job today.', 'I lost my job today, but I believe this will open up new possibilities for my career.']",,,,
"I like the tablet form for sweetener , but these tables do n't dissolve unless they are stirred with a spoon .","[""I like the tablet form for sweetener, but these tablets don't dissolve unless they are stirred with a spoon..""]","[""I don't like the tablet form for sweetener, but these tables don't dissolve unless they are stirred with a spoon.""]","[""I don't like the tablet form for sweetener as these tables don't dissolve unless they are stirred with a spoon.""]","['I hate my job. ', 'I am trying to find a way to love my job or make positive changes.']",,,,
"The only problem is , after a while when you start breaking them in , they start to hurt your feet .","['The only problem is, after a while when you start breaking them in, they start to hurt your feet... longwindedly']","[""The only problem is, after a while when you start breaking them in, they don't start to hurt your feet ..""]","['The unfortunate issue is, after a while when you start breaking them in, they start to painfully hurt your feet.']","[""I hate going to the dentist because it's always painful and uncomfortable.""]",,,,
Forget attaching a sprinkler because it produces horrible water pressure .,['Forget attaching a sprinkler because it produces horrible water pressurelessness.'],['Forget detaching a sprinkler because it produces horrible water pressure.'],"['Forget attaching a sprinkler because it not only produces horrible water pressure, but also fails to efficiently water your garden.']","[""I can't believe how long this project is taking me.""]",,,,
I did n't exactly hate Dani like most people but she was pretty non existent to me .,"[""I didn't exactly hate Dani like most people but she was pretty non-existent to me... worsened.""]","[""I didn't exactly dislike Dani like most people but she was pretty non existent to me ..""]","[""I didn't exactly dislike Dani like most people, but she was pretty insignificant to me.""]","[""I can't handle all the stress and pressure I'm under right now.""]",,,,
Update : I 've tried again and again to wear these but they hurt .,"[""Update: I've tried again and again to wear these but they hurt... Nevertheless.""]","[""Here is the modified sentence: Update: I haven't tried again and again to wear these but they hurt...""]","[""Update: I've desperately struggled multiple times to wear these, but they painfully hurt..""]","['I despise going to the dentist because it is so painful.', 'I despise going to the dentist, but I always remind myself that it helps keep my teeth healthy in the long run.']",,,,
I seriously doubt its longevity though .,['I seriously doubt its longevity though... insuffix.'],['I seriously doubt its longevity though ..'],['I seriously doubt its short-term longevity though ..'],"['I feel overwhelmed by all the tasks I have to complete. ', 'However, I am confident that with proper time management, I can successfully complete them all.']",,,,
